objectid,filename,view,title,format,titledescription,material,quantity,size,repository,location-in-repository,condition,comments,date-approx,site,unit,level,original-catalog,latitude,longitude
cfh0036,IMG_4457.JPEG,Side with scale,Strap or suspender buckle,JPEG,"Buckle likely used for clothing straps of suspenders. Stamped ""SOLIDE.""",Metal; brass,1,3.2 cm length; 2.1 cm width,University of Montana,B7 1.1,,,,32MZ1,,,9281,48.014091,-102.598263
cfh0037,IMG_4459.JPEG,Side with scale,Bar buckle,JPEG,Buckle for straps,Metal; brass,1,2.5 cm length; 2 cm width,University of Montana,B7 1.1,,,,32MZ1,,,9310,48.014091,-102.598263
cfh0038,IMG_5034.JPEG,Exterior with scale,Metal disk/ring,JPEG,Metal disk or ring,Metal,1,7 cm diameter; 2.5 cm hole diameter,University of Montana,B7 3.1,Bent,,,32MZ1,,,9110,48.014091,-102.598263
cfh0039,IMG_5033.JPEG,Interior with scale,Metal bowl,JPEG,Metal bowl,Metal,1,16.5 cm diameter,University of Montana,B7 3.1,Crushed,,,32MZ1,,,9126,48.014091,-102.598263
cfh0040,IMG_5019.JPEG,Exterior front with scale,Tobacco tin,JPEG,"Square; ""Four Ounces Lewis Beauty Mixture Smoking Tobacco""",Metal; tin,1,9 cm length; 5.4 cm width; 9.8 cm height,University of Montana,B7 3.1,Crushed,Lid to this tin is probably cat #9118,,32MZ1,,,9134,48.014091,-102.598263
cfh0041,IMG_5045.JPEG,Exterior front with scale,Tobacco tin,JPEG,"Rectangular; ""Lewis Beauty"" with bust of woman wearing glasses",Metal; tin,1,5.5 cm length; 9 cm width,University of Montana,B7 3.1,,Likely to be the lid to cat # 9134,,32MZ1,,,9118,48.014091,-102.598263
cfh0042,IMG_5026.JPEG,Exterior with scale,Lid to baking powder can,JPEG,"""The Most Perfectly Made Dr. Price's Cream Baking Powder 12 oz Full Weight""",Metal; tin,1,7.4 cm diameter,University of Montana,B7 3.1,,,,32MZ1,,,9122,48.014091,-102.598263
cfh0043,IMG_5039.JPEG,Exterior with scale,Tin can lid,JPEG,"""AMERICA""",Metal; tin,1,5.2 cm diameter; 1.2 cm width,University of Montana,B7 3.1,,,,32MZ1,,,9113,48.014091,-102.598263
cfh0044,IMG_5050.JPEG,Angled with scale,Crushed lard can,JPEG,"""Packing & Provision Company Pure Lard St. Paul""",Metal; tin,1,,University of Montana,B7 3.1,Crushed,,,32MZ1,,,9114,48.014091,-102.598263
cfh0045,IMG_4313.JPEG,Exterior with scale,Beer bottle base,JPEG,"Amber beer bottle base made by A & D.H. Chambers Glass Company, Pittsburgh, PA",Glass,1,2.5 cm diameter,University of Montana,B7 1.1,Diseased,A & D.H. Chambers Glass Company produced beer bottles from the 1860s-1880s; resembles bottle from Fort Laramie,1860s-1880s,32MZ1,,,75,48.014091,-102.598263
cfh0046,IMG_4319.JPEG,Exterior with scale,"Beer bottle",JPEG,"Amber beer bottle base, heel, and body made by Streator Bottle & Glass Co., Streator, IL",Glass,1,7 cm length,University of Montana,B7 1.1,,SB&GCO horizontal at center of base dates to 1890-1905,1890-1905,32MZ1,,,98,48.014091,-102.598263
cfh0047,IMG_4327.JPEG,Top down with scale,"Clear glass bottle with cork",JPEG,"Clear glass bottle finish, neck, and shoulder",Glass,1,,University of Montana,B7 1.1,Cork present,,,32MZ1,,,11,48.014091,-102.598263
cfh0048,IMG_4388.JPEG,With scale,Blue pony beads,JPEG,Powder blue pony beads,Glass,2,8 mm diameter,University of Montana,B7 1.1,Patinated,,,32MZ1,,,47 and 49,48.014091,-102.598263
cfh0049,IMG_4475.JPEG,With scale,Knife River flint nodules,JPEG,Patinated pieces of Knife River flint with flake scars,Lithic; Knife River flint,4,,University of Montana,B7 1.1,Patinated,,,32MZ1,,,,48.014091,-102.598263
cfh0050,IMG_4493.1.JPEG,With scale,Broken projectile point,JPEG,Broken (potential) projectile point; work-in-progress,Lithic; chert,1,,University of Montana,B7 1.1,Broken,,,32MZ1,,,9144,48.014091,-102.598263
cfh0051,IMG_4494.2.JPEG,With scale,Knife River flint,JPEG,Knife River flint,Lithic; Knife River flint,1,,University of Montana,B7 1.1,Patinated,,,32MZ1,,,9151,48.014091,-102.598263
cfh0052,IMG_4522.JPEG,Interior with scale,Sewn sole of adult's leather shoe,JPEG,Sewn sole of leather shoe; only toe portion present,Leather,1,,University of Montana,B7 1.1,,,,32MZ1,,,39,48.014091,-102.598263
cfh0053,IMG_4568.1.JPEG,With scale,Dentalium shell,JPEG,Broken dentalium shell,Shell,1,,University of Montana,B7 1.1,Broken,,,32MZ1,,,50,48.014091,-102.598263
cfh0054,IMG_4627.JPEG,Angled with scale,Hammerstone,JPEG,Hammerstone; hard percussion instrument,Lithic,1,26.5 cm longitudinal circumference; 21 cm latitudinal circumference,University of Montana,B7 1.2,,,,32MZ1,,,,48.014091,-102.598263
cfh0055,IMG_4632.JPEG,With scale,Projectile point,JPEG,Split stemmed and side notched projectile point; possibly Billings double spur basal notch point; part of Plains side notched point family,Lithic,1,,University of Montana,B7 1.2,,,,32MZ1,,,,48.014091,-102.598263
cfh0056,IMG_4634.JPEG,With scale,Projectile point,JPEG,Corner notched projectile point,Lithic,1,,University of Montana,B7 1.2,,,,32MZ1,,,,48.014091,-102.598263
cfh0057,IMG_4693.JPEG,With scale,Blue hexagonal bead,JPEG,Cobalt blue hexagonal faceted bead,Glass,1,,University of Montana,B7 1.2,,,,32MZ1,,,,48.014091,-102.598263
cfh0058,IMG_4757.JPEG,Side with scale,Upper shaft of boot,JPEG,Upper shaft of boot with seven eyelets,Leather,1,14 cm base;  9 cm height,University of Montana,B7 1.3,,,,32MZ1,,,,48.014091,-102.598263
cfh0059,IMG_4816.JPEG,Side with scale,Toy creamer or sugar bowl,JPEG,Creamer of sugar bowl from toy tea set; listed as "ornamental cup" in Appendix B,Metal,1,6 cm height; 4 cm width,University of Montana,B7 1.3,Crushed,"Listed in Appendix B - Objects from Cabin 1 as "iron garden tool part.""",,32MZ1,Cabin 1,,9188,48.014091,-102.598263
cfh0060,IMG_4873.JPEG,Exterior with scale,Ironstone sherd,JPEG,"Ironstone China base sherd showing J. & G. Meakin, Hanley, England maker's mark",Ceramic; stoneware,1,,University of Montana,B7 1.3,,,,32MZ1,Cabin 1,Level 2,9027,48.014091,-102.598263
cfh0061,IMG_4865.JPEG,With scale,Porcelain doll appendages,JPEG,Porcelain doll appendages; listed as "China leg from small doll" in Appendix B,Ceramic; porcelain,3,2.5 cm length; 2.2 cm length; 1.4 cm length,University of Montana,B7 1.3,,,,32MZ1,Cabin 1,Level 2,9301,48.014091,-102.598263
cfh0062,IMG_4970.JPEG,With scale,Cow second phalanges,JPEG,Cow second phalanges with knife marks,Faunal,11,,University of Montana,B7 2.4,Knife marks,,,32MZ1,,,9107,48.014091,-102.598263
cfh0063,IMG_5354.JPEG,Angled with scale,Cow skull,JPEG,Cow skull,Faunal,1,,University of Montana,Box 2,,,,32MZ1,,,9107,48.014091,-102.598263
cfh0064,IMG_5301.JPEG,Side with scale,Bison horn,JPEG,Bison horn,Faunal,1,15.5 cm length; 4 cm width,University of Montana,B7 3.3,,,,32MZ1,Cache 2,Surface,,48.014091,-102.598263
