objectid,filename,view,title,format,titledescription,background-importance,material,quantity,size,repository,location-in-repository,condition,comments,date-approx,site,unit,level,original-catalog,latitude,longitude,subject 
cfh0011,IMG_4348.JPEG,Side with scale,Machine-stamped sleigh bell,JPEG,Machine-stamped sleigh bell,"Sleigh bells like this object are used in regalia worn by members of the Grass Dance Society, the ceremonial society that supervised the central earthlodge at the village. Society members partook in the Grass Dance, a warrior's dance, with outfits that, according to a Hidatsa man known as Wolf Chief, ""consisted of head dresses, sleigh bells for the garters, otter skins for the head, armlets of bead work, yarn belts, and the like.” There were a total of four sleigh bells found; this particular bell is machine-stamped, a technology not widespread until the mid-to-late 1870s. Archival images depict former residents of Crow-Flies-High Village partaking in the Grass Dance and the sleigh bell garters.",Metal,1,,University of Montana,B7 1.1,,,,32MZ1,,,93,48.014091,-102.598263,Metal
cfh0012,IMG_4365.JPEG,Side with scale,Machine-stamped sleigh bell,JPEG,Machine-stamped sleigh bell,"Sleigh bells like this object are used in regalia worn by members of the Grass Dance Society, the ceremonial society that supervised the central earthlodge at the village. Society members partook in the Grass Dance, a warrior's dance, with outfits that, according to a Hidatsa man known as Wolf Chief, ""consisted of head dresses, sleigh bells for the garters, otter skins for the head, armlets of bead work, yarn belts, and the like.” There were a total of four sleigh bells found; this particular bell is machine-stamped, made by George W. Tucker’s American Ring Company in Waterbury, CT, and this particular bell received patents October 24, 1876 and May 14, 1878. Archival images depict former residents of Crow-Flies-High Village partaking in the Grass Dance and the sleigh bell garters.",Metal,1,,University of Montana,B7 1.1,Crushed,,1876-1878,32MZ1,,,63,48.014091,-102.598263,Metal
cfh0013,IMG_4468_th.jpg,Side with scale,Projectile point,JPG,Knife River flint projectile point,"This projectile point, like the majority of lithic materials from the site, has no provenience and was deemed “evidently from a prehistoric level” by the archaeologist. It is possible that this projectile point, another point, and various flakes were churned up along with other artifacts when the site was plowed by farmers. However, its general asymmetrical shape and local material, Knife River Flint, could indicate a more recent origin. ",Lithic,1,,University of Montana,B7 1.1,Cortex present,,,32MZ1,,,1,48.014091,-102.598263,Lithic
cfh0014,IMG_4508_th.jpg,Exterior with scale,Nailed shoe sole ,JPG,Nailed sole of leather shoe; child's size 1 (1858),"Shoe sizes were standardized in the mid-19th century, so the intended age of the wearer can be estimated when an entire sole is found. This sole measure around 11 cm in total length, making it a child’s size 1 according to Richardson
1858’s American sizing. In today’s it would be a size 4, putting the wearer’s age around 1 year-old. A “boy’s shoe” is listed in ""Appendix B Objects from Cabin 1,"" which is likely referring to this particular nailed sole because the list is comprised of objects deemed of “European or American make."" Additionally, I can make an educated guess as to whose shoe this might have been. Malouf's Hidatsa informant, Adlai Stevenson, thought Cabin 1 might have belonged to Different Cherries, the second wife to Black Hawk, and according to digitized census data, Different Cherries had two children aged 3-12 (George) and 1-10 (Nellie) growing up at Crow-Flies-High Village. ",Leather,1,11 cm length,University of Montana,B7 1.1,Cracked,,,32MZ1,Cabin 1,,96,48.014091,-102.598263,Leather
cfh0015,IMG_4531_th.jpg,Interior with scale,Sewn shoe sole,JPG,Sewn sole of leather shoe; child's size 1 (1858),"Shoe sizes were standardized in the mid-19th century, so the intended age of the wearer can be estimated when an entire sole is found. This sole measure around 11 cm in total length, making it a child’s size 1 according to Richardson
1858’s American sizing. ",Leather,1,11 cm length,University of Montana,B7 1.1,"Cracked, moldy",,,32MZ1,,,38,48.014091,-102.598263,Leather
cfh0016,IMG_4806_th.jpg,Side with scale,Toy cap pistol,JPG,"Stevens 5"" VOLUNTEER cast iron cap pistol, patented April 22, 1873","Listed as “toy cap pistol” in ""Appendix B Objects from Cabin 1."" It was as common for children in the past to reenact battles and play fight as it is for children today. In 1888, missionary Charles L. Hall mentioned little boys reenacting a battle between the MHA and the Sioux, so it is very possible cap pistols like this object were popular toys, especially among little boys who were warriors-in-training.
",Metal,1,10.5 cm barrel; 6 cm height; 5 in total length,University of Montana,B7 1.3,,,1873,32MZ1,Cabin 1,,9297,48.014091,-102.598263,Metal
cfh0017,IMG_4810_th.jpg,Front with scale,Buttons cut from tin can lids,JPG,Buttons cut from tin cans and punctured with two holes; one painted bright red and white,"These buttons are examples of what I call modified or potential toys: objects that could have been created for and used by children. The objects resemble large two-hole flat buttons, and one is painted red and white. ",Metal,2,4.5 cm diameter,University of Montana,B7 1.3,,,,32MZ1,,,9332,48.014091,-102.598263,Metal
cfh0018,IMG_4839_th.jpg,Front with scale,Brass button toy wheel,JPG,"Brass Horstmann Bros & Co. Philadelphia button with inside area cut out, likely the ""toy wheel"" from ""Appendix B Objects from Cabin 1""","The button has markings indicating it was produced by Horstmann Bros & Co. Philadelphia, a major military contractor of uniforms and insignia since the 1820s. The specific makers mark on this button dates between 1867-1893. Due to the small size, the button was probably part of a uniform coat or hat during this time. When Crow-Flies-High’s band initially left the reservation in 1872, they moved near the confluence of the Missouri and Yellowstone rivers, where Fort Buford, a U.S. Army Post, was located. The Arikara were known to be reliable Indian Scouts and even fought in the Battle of Little Bighorn in 1876. Some Hidatsa also enlisted as scouts, and after cross-referencing Malouf’s list of members of Crow-Flies-High Band with known Indian Scouts, two individuals have the proper ages to have lived at Crow-Flies-High Village while or after being scouts: Foolish Bear born 1844 (who would’ve been his 40s) and Drags Wolf born 1862 (who was in his 20s). Perhaps either of these two menoffered a button from his coat or hat to the children of the village who then removed the front and center of the button to create its four-spoked wheel shape for a toy cart.
",Metal,1,3.8 cm diameter,University of Montana,B7 1.3,,,1867-1893,32MZ1,Cabin 1,,9325,48.014091,-102.598263,Metal
cfh0019,IMG_4843.JPEG,Front with scale,Padlock,JPEG,Heart-shaped smokehouse padlock lock with iron body/shackle and brass keyhole,"Stamped ‘R&E Co.’ Russell & Erwin Manufacturing Co. in New Britain, CT, and can be found in 1886 catalog on page 515. Locking things up with a lock and key is a western practice, not often seen in Native communities. The presence of a lock such as this might suggest increased inter- and intra-community tensions in uncertain and fast-changing times. ",Metal,1,8.7 cm length; 6.5 cm width; 1.7 cm thick,University of Montana,B7 1.3,,,1886,32MZ1,,,9245,48.014091,-102.598263,Metal
cfh0020,IMG_5074.JPEG,Top with scale,Railroad lantern dome,JPEG,SEP. 24. 89 THE ADAMS & WESTLAKE CO. CHICAGO' “The Adams” railroad lantern patented by Chicago-based railroad manufacturer Adams & Westlake Co. in 1889,"This object is a Union Pacific Railroad lantern. The Union Pacific Railroad runs through southern Nebraska, but somehow found its way to North Dakota. The Arikara are closely related to the Pawnee, whose homelands are in present-day Nebraska. Perhaps this lantern is indicative of intertribal trade, but it could also represent the far-reaching mobility an off-reservation community could have compared to the restricted movement those living on the reservation dealt with. ",Metal,1,14.5 cm diameter,University of Montana,B7 3.2,Crushed,,1889,32MZ1,,,,48.014091,-102.598263,Metal
cfh0021,IMG_5073.JPEG,Side with scale,Iron door latch,JPEG,Door or gate latch? Tent stake?,,Metal,1,23 cm length,University of Montana,B7 3.1,,,,32MZ1,,,,48.014091,-102.598263,Metal
cfh0022,IMG_5070.JPEG,Exterior with scale,Ribbed tin can,JPEG,Ribbed/corrugated tin can,,Metal,1,11.8 cm length; 12.5 cm width,University of Montana,B7 3.1,,,,32MZ1,,,,48.014091,-102.598263,Metal
cfh0023,IMG_5096.JPEG,Side with scale,Railroad spikes,JPEG,Railroad spikes,"The Northern Pacific Railroad passes through Bismarck,",Metal,4,14.4 cm length; 1.3 cm width,University of Montana,B7 3.2,,,,32MZ1,,,9295 and 9156,48.014091,-102.598263,Metal
cfh0024,IMG_5078.JPEG,Side with scale,Unknown metal object,JPEG,"Tag says: ""metal handle,"" possibly a spout",,Metal,1,11.4 cm length; 10.2 cm width,University of Montana,B7 3.2,,,,32MZ1,,,9159,48.014091,-102.598263,Metal
cfh0025,IMG_5334.JPEG,Interior with scale,Crown cap bottle cap,JPEG,Perforated crown cap bottle cap,,Metal,1,2.5 cm diameter,University of Montana,B7 3.4,Perforated in center,Crown caps date post-1892,1892,32MZ1,Cabin 1,Level 2,9175,48.014091,-102.598263,Metal
cfh0026,IMG_5333.JPEG,Side with scale,Harmonica,JPEG,"Tag says: ""part of mouth organ""",,Metal,1,5.2 cm length; 2.3 cm width,University of Montana,B7 3.4,Broken,,,32MZ1,Cabin 1,Burned area,9247,48.014091,-102.598263,Metal
cfh0027,IMG_5089.JPEG,Side with scale,Spoon or ladle,JPEG,Spoon or ladle with hole to hang,,Metal,1,34.5 cm length,University of Montana,B7 3.2,Bent,Hole to hang,,32MZ1,,,9158,48.014091,-102.598263,Metal
cfh0028,IMG_5341.JPEG,Side with scale,Unknown iron object,JPEG,"Tag says: ""iron  piece""",,Metal,1,5 cm diameter; 1.7 cm width,University of Montana,B7 3.4,Broken,Circular with circular cut outs,,32MZ1,Cabin 1,Level 2,9184,48.014091,-102.598263,Metal
cfh0029,IMG_4745.JPEG,Side with scale,Spur,JPEG,Texas-style or cowboy spur,,Metal,1,13 cm length; 10 cm width; 5 cm diameter rowel,University of Montana,B7 1.3,,9 or 10-point rowel,,32MZ1,,,,48.014091,-102.598263,Metal
cfh0030,IMG_4699.JPEG,Interior with scale,Perforated tin can lid,JPEG,Tin can lid with hole in center,,Metal,1,6.2 cm diameter,University of Montana,B7 1.2,,Resembles object collected by Gilbert L. Wilson from Like-A-Fishhook Village,,32MZ1,,,9312,48.014091,-102.598263,Metal
cfh0031,IMG_4700.JPEG,Angled with scale,Railroad bolt and nuts,JPEG,"Square nut, round nut, and large bolt. Resembles railroad nuts and bolts. Possibly the ""small doorknob""mentioned in Appendix B",,Metal,1,7 cm length,University of Montana,B7 1.2,,"Resembles railroad nuts and bolts. Possibly the ""small doorknob"" mentioned in Appendix B",,32MZ1,Cabin 1,,,48.014091,-102.598263,Metal
cfh0032,IMG_4706.JPEG,Side with scale,Harmonica,JPEG,Harmonica,,Metal,1,10 cm length; 2.5 cm width,University of Montana,B7 1.3,Wood reed within brass casing,,,32MZ1,,,,48.014091,-102.598263,Metal
cfh0033,IMG_4375.JPEG,Top-down with scale,Unknown metal object,JPEG,Bell? Part of a lamp or lantern?,,Metal,1,2.5 cm height; 3.3 cm diameter,University of Montana,B7 1.1,Perforation in bottom,,,32MZ1,,,91,48.014091,-102.598263,Metal
cfh0034,IMG_4441.JPEG,Side with scale,Hitch and nail,JPEG,Hitch likely from a plow yoke. Wood can still be seen inside.,,Metal,1,8 cm length,University of Montana,B7 1.1,Wood can still be seen inside,,,32MZ1,,,,48.014091,-102.598263,Metal
cfh0035,IMG_4417.JPEG,Side with scale,Comb,JPEG,Comb with no handle and broken teeth,,Metal,1,8.5 cm length,University of Montana,B7 1.1,Teeth broken; no handle,,,32MZ1,,,69,48.014091,-102.598263,Metal
cfh0036,IMG_4457.JPEG,Side with scale,Strap or suspender buckle,JPEG,"Buckle likely used for clothing straps of suspenders. Stamped ""SOLIDE.""",,Metal,1,3.2 cm length; 2.1 cm width,University of Montana,B7 1.1,,,,32MZ1,,,9281,48.014091,-102.598263,Metal
cfh0037,IMG_4459.JPEG,Side with scale,Bar buckle,JPEG,Buckle for straps,,Metal,1,2.5 cm length; 2 cm width,University of Montana,B7 1.1,,,,32MZ1,,,9310,48.014091,-102.598263,Metal
cfh0038,IMG_5034.JPEG,Exterior with scale,Metal disk,JPEG,Metal disk or ring,,Metal,1,7 cm diameter; 2.5 cm hole diameter,University of Montana,B7 3.1,Bent,,,32MZ1,,,9110,48.014091,-102.598263,Metal
cfh0039,IMG_5033.JPEG,Interior with scale,Metal bowl,JPEG,Metal bowl,,Metal,1,16.5 cm diameter,University of Montana,B7 3.1,Crushed,,,32MZ1,,,9126,48.014091,-102.598263,Metal
cfh0040,IMG_5019.JPEG,Exterior front with scale,Tobacco tin,JPEG,"Square; ""Four Ounces Lewis Beauty Mixture Smoking Tobacco""",,Metal,1,9 cm length; 5.4 cm width; 9.8 cm height,University of Montana,B7 3.1,Crushed,Lid to this tin is probably cat #9118,,32MZ1,,,9134,48.014091,-102.598263,Metal
cfh0041,IMG_5045.JPEG,Exterior front with scale,Tobacco tin lid,JPEG,"Rectangular; ""Lewis Beauty"" with bust of woman wearing glasses",,Metal,1,5.5 cm length; 9 cm width,University of Montana,B7 3.1,,Likely to be the lid to cat # 9134,,32MZ1,,,9118,48.014091,-102.598263,Metal
cfh0042,IMG_5026.JPEG,Exterior with scale,Baking powder can lid,JPEG,"""The Most Perfectly Made Dr. Price's Cream Baking Powder 12 oz Full Weight""",,Metal,1,7.4 cm diameter,University of Montana,B7 3.1,,,,32MZ1,,,9122,48.014091,-102.598263,Metal
cfh0043,IMG_5039.JPEG,Exterior with scale,Tin can lid,JPEG,"""AMERICA""",,Metal,1,5.2 cm diameter; 1.2 cm width,University of Montana,B7 3.1,,,,32MZ1,,,9113,48.014091,-102.598263,Metal
cfh0044,IMG_5050.JPEG,Angled with scale,Crushed lard can,JPEG,"""Packing & Provision Company Pure Lard St. Paul""",,Metal,1,,University of Montana,B7 3.1,Crushed,,,32MZ1,,,9114,48.014091,-102.598263,Metal
cfh0045,IMG_4313.JPEG,Exterior with scale,Amber beer bottle,JPEG,"Base of beer bottle made by A & D.H. Chambers Glass Company, Pittsburgh, PA",,Glass,1,2.5 cm diameter,University of Montana,B7 1.1,Diseased,A & D.H. Chambers Glass Company produced beer bottles from the 1860s-1880s; resembles bottle from Fort Laramie,1860s-1880s,32MZ1,,,75,48.014091,-102.598263,Glass
cfh0046,IMG_4319.JPEG,Exterior with scale,Amber beer bottle ,JPEG,"Beer bottle made by Streator Bottle & Glass Co., Streator, IL",,Glass,1,7 cm length,University of Montana,B7 1.1,,SB&GCO horizontal at center of base dates to 1890-1905,1890-1905,32MZ1,,,98,48.014091,-102.598263,Glass
cfh0047,IMG_4327.JPEG,Top down with scale,Clear glass bottle with cork,JPEG,"Clear glass bottle finish, neck, and shoulder",,Glass,1,,University of Montana,B7 1.1,Cork present,,,32MZ1,,,11,48.014091,-102.598263,Glass
cfh0048,IMG_4388.JPEG,With scale,Powder blue pony beads,JPEG,Powder blue pony beads,,Glass,2,8 mm diameter,University of Montana,B7 1.1,Patinated,,,32MZ1,,,47 and 49,48.014091,-102.598263,Glass
cfh0049,IMG_4475.JPEG,With scale,Knife River flint nodules,JPEG,Patinated pieces of Knife River flint with flake scars,,Lithic,4,,University of Montana,B7 1.1,Patinated,,,32MZ1,,,,48.014091,-102.598263,Lithic
cfh0050,IMG_4493.1.JPEG,With scale,Broken projectile point,JPEG,Broken (potential) projectile point; work-in-progress,,Lithic,1,,University of Montana,B7 1.1,Broken,,,32MZ1,,,9144,48.014091,-102.598263,Lithic
cfh0051,IMG_4494.2.JPEG,With scale,Knife River flint,JPEG,Knife River flint,,Lithic,1,,University of Montana,B7 1.1,Patinated,,,32MZ1,,,9151,48.014091,-102.598263,Lithic
cfh0052,IMG_4522.JPEG,Interior with scale,Sewn shoe sole,JPEG,Sewn sole of adult leather shoe; only toe portion present,,Leather,1,,University of Montana,B7 1.1,,,,32MZ1,,,39,48.014091,-102.598263,Leather
cfh0053,IMG_4568.1.JPEG,With scale,Dentalium shell,JPEG,Broken dentalium shell,,Shell,1,,University of Montana,B7 1.1,Broken,,,32MZ1,,,50,48.014091,-102.598263,Shell
cfh0054,IMG_4627.JPEG,Angled with scale,Hammerstone,JPEG,Hammerstone; hard percussion instrument,,Lithic,1,26.5 cm longitudinal circumference; 21 cm latitudinal circumference,University of Montana,B7 1.2,,,,32MZ1,,,,48.014091,-102.598263,Lithic
cfh0055,IMG_4632_th.jpg,With scale,Projectile point,JPG,Split stemmed and side notched projectile point; possibly Billings double spur basal notch point; part of Plains side notched point family,,Lithic,1,,University of Montana,B7 1.2,,,,32MZ1,,,,48.014091,-102.598263,Lithic
cfh0056,IMG_4634_th.jpg,With scale,Projectile point,JPG,Corner notched projectile point,,Lithic,1,,University of Montana,B7 1.2,,,,32MZ1,,,,48.014091,-102.598263,Lithic
cfh0057,IMG_4693.JPEG,With scale,Blue hexagonal bead,JPEG,Cobalt blue hexagonal faceted bead,,Glass,1,,University of Montana,B7 1.2,,,,32MZ1,,,,48.014091,-102.598263,Glass
cfh0058,IMG_4757.JPEG,Side with scale,Upper shaft of boot with eyelets,JPEG,Upper shaft of boot with seven eyelets,,Leather,1,14 cm base;  9 cm height,University of Montana,B7 1.3,,,,32MZ1,,,,48.014091,-102.598263,Leather
cfh0059,IMG_4816.JPEG,Side with scale,Toy creamer or sugar bowl,JPEG,"Creamer of sugar bowl from toy tea set; listed as ""ornamental cup"" in Appendix B",,Metal,1,6 cm height; 4 cm width,University of Montana,B7 1.3,Crushed,"Listed in Appendix B - Objects from Cabin 1 as ""ornamental cup""",,32MZ1,Cabin 1,,9188,48.014091,-102.598263,Metal
cfh0060,IMG_4873.JPEG,Exterior with scale,Ironstone sherd,JPEG,"Ironstone China base sherd showing J. & G. Meakin, Hanley, England maker's mark",,Ceramic,1,,University of Montana,B7 1.3,,,,32MZ1,Cabin 1,Level 2,9027,48.014091,-102.598263,Ceramic
cfh0061,IMG_4865.JPEG,With scale,Porcelain doll appendages,JPEG,"Porcelain doll appendages; listed as ""China leg from small doll"" in Appendix B",,Ceramic,3,2.5 cm length; 2.2 cm length; 1.4 cm length,University of Montana,B7 1.3,,,,32MZ1,Cabin 1,Level 2,9301,48.014091,-102.598263,Ceramic
cfh0062,IMG_4970.JPEG,With scale,Cow second phalanges,JPEG,Cow second phalanges with knife marks,,Faunal,11,,University of Montana,B7 2.4,Knife marks,,,32MZ1,,,9107,48.014091,-102.598263,Faunal
cfh0063,IMG_5354_th.jpg,Angled with scale,Cow skull,JPG,Cow skull,,Faunal,1,,University of Montana,Box 2,,,,32MZ1,,,9107,48.014091,-102.598263,Faunal
cfh0064,IMG_5301_th.jpg,Side with scale,Bison horn,JPG,Bison horn,,Faunal,1,15.5 cm length; 4 cm width,University of Montana,B7 3.3,,,,32MZ1,Cache 2,Surface,,48.014091,-102.598263,Faunal
cfh0065,Malouf 1963 Crow-Flies-High (32MZ1) A Historic Hidatsa Village in the Garrison Reservoir Area.pdf,,Malouf 1963 Crow-Flies-High (32MZ1) A Historic Hidatsa Village in the Garrison Reservoir Area,PDF,"Carling Malouf's 1963 report of the 1950s excavation of the Crow-Flies-High Village (32MZ1) archaeological site, River Basin Survey Papers no. 29",,Document,1,,,,,,1963,32MZ1,,,,48.014091,-102.598263,Document
cfh0066,Thimmig MA (Formatted).pdf,,A Reexamination of Salvage Archaeology from Crow-Flies-High Village,PDF,"On-and-Off Reservation Life: A Reexamination of Salvage Archaeology from Crow-Flies-High Village, research paper in partial fulfillment of the M.A. degree requirements, Department of Anthropology Brown University ",,Document,1,,,,,,2022,32MZ1,,,,48.014091,-102.598263,Document
